3/4 Sit-Up, Abdominals,none
90/90 Hamstring, Hamstrings, Calves
Ab Crunch Machine, Abdominals,none
Ab Roller, Abdominals, Shoulders
Adductor, Adductors,none
Adductor/Groin, Adductors,none
Advanced Kettlebell Windmill, Abdominals," Glutes, Hamstrings, Shoulders"
Air Bike, Abdominals,none
All Fours Quad Stretch, Quadriceps, Quadriceps
Alternate Hammer Curl, Biceps, Forearms
Alternate Heel Touchers, Abdominals,none
Alternate Incline Dumbbell Curl, Biceps, Forearms
Alternate Leg Diagonal Bound, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings"
Alternating Cable Shoulder Press, Shoulders, Triceps
Alternating Deltoid Raise, Shoulders,none
Alternating Floor Press, Chest," Abdominals, Shoulders, Triceps"
Alternating Hang Clean, Hamstrings," Biceps, Calves, Forearms, Glutes, Lower Back, Traps"
Alternating Kettlebell Press, Shoulders, Triceps
Alternating Kettlebell Row, Middle Back," Biceps, Lats"
Alternating Renegade Row, Middle Back," Abdominals, Biceps, Chest, Lats, Triceps"
Ankle Circles, Calves,none
Ankle On The Knee, Glutes,none
Anterior Tibialis-SMR, Calves,none
Anti-Gravity Press, Shoulders," Middle Back, Traps, Triceps"
Arm Circles, Shoulders, Traps
Arnold Dumbbell Press, Shoulders, Triceps
Around The Worlds, Chest, Shoulders
Atlas Stone Trainer, Lower Back," Biceps, Forearms, Glutes, Hamstrings, Quadriceps"
Atlas Stones, Lower Back," Abdominals, Adductors, Biceps, Calves, Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Axle Deadlift, Lower Back," Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Back Flyes - With Bands, Shoulders," Middle Back, Triceps"
Backward Drag, Quadriceps," Calves, Forearms, Glutes, Hamstrings, Lower Back"
Backward Medicine Ball Throw, Shoulders,none
Balance Board, Calves," Hamstrings, Quadriceps"
Ball Leg Curl, Hamstrings," Calves, Glutes"
Band Assisted Pull-Up, Lats," Abdominals, Forearms, Middle Back"
Band Good Morning, Hamstrings," Glutes, Lower Back"
Band Good Morning (Pull Through), Hamstrings," Glutes, Lower Back"
Band Hip Adductions, Adductors,none
Band Pull Apart, Shoulders," Middle Back, Traps"
Band Skull Crusher, Triceps,none
Barbell Ab Rollout, Abdominals," Lower Back, Shoulders"
Barbell Ab Rollout - On Knees, Abdominals," Lower Back, Shoulders"
